HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Percent of cancer patients dying in hospital (2012),,,Percent of cancer patients admitted to hospital during the last month of life (2012 deaths),,,Hospital days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients admitted to intensive care during the last month of life (2012 deaths),,,ICU days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients receiving life-sustaining treatment during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last month of life (2012 deaths),,,Hospice days per cancer patient during the last month of life (2012 deaths),,,Percent of cancer patients enrolled in hospice during the last three days of life (2012 deaths),,,Percent of cancer patients seeing ten or more physicians during the last six months of life (2012 deaths),,
,,,,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
1,Birmingham,AL,"1,818",28.0 ,25.7 ,30.6 ,62.7 ,59.1 ,66.5 ,4.9 ,4.7 ,5.2 ,28.7 ,26.4 ,31.3 ,1.2 ,1.1 ,1.4 ,11.4 ,9.9 ,13.0 ,62.0 ,58.5 ,65.8 ,10.1 ,9.6 ,10.7 ,8.8 ,7.5 ,10.3 ,51.1 ,47.9 ,54.5 
2,Dothan,AL,337,19.4 ,15.3 ,24.6 ,52.3 ,45.1 ,60.6 ,3.6 ,3.0 ,4.2 ,19.7 ,15.5 ,24.9 ,0.4 ,0.1 ,0.8 ,5.4 ,3.5 ,8.4 ,69.0 ,60.6 ,78.6 ,11.9 ,10.7 ,13.1 ,6.6 ,4.3 ,10.0 ,46.2 ,39.5 ,54.0 
5,Huntsville,AL,566,30.8 ,26.6 ,35.6 ,65.9 ,59.6 ,72.9 ,5.6 ,5.1 ,6.1 ,43.4 ,38.4 ,49.1 ,3.2 ,2.9 ,3.5 ,9.4 ,7.2 ,12.2 ,57.3 ,51.4 ,64.0 ,9.2 ,8.3 ,10.1 ,8.8 ,6.7 ,11.6 ,54.9 ,49.1 ,61.4 
6,Mobile,AL,630,23.4 ,20.0 ,27.5 ,60.2 ,54.4 ,66.5 ,4.7 ,4.2 ,5.1 ,27.8 ,24.0 ,32.2 ,1.2 ,0.9 ,1.5 ,9.9 ,7.8 ,12.6 ,70.2 ,63.9 ,77.1 ,11.2 ,10.3 ,12.1 ,12.3 ,9.8 ,15.4 ,60.3 ,54.5 ,66.7 
7,Montgomery,AL,364,22.7 ,18.4 ,28.0 ,61.5 ,54.1 ,70.1 ,4.6 ,4.0 ,5.2 ,25.6 ,21.0 ,31.2 ,1.0 ,0.6 ,1.4 ,12.0 ,9.1 ,15.9 ,67.7 ,59.6 ,76.9 ,10.4 ,9.3 ,11.6 ,8.8 ,6.2 ,12.5 ,56.3 ,49.1 ,64.6 
9,Tuscaloosa,AL,244,28.3 ,22.5 ,35.7 ,60.2 ,51.3 ,70.8 ,4.7 ,4.0 ,5.4 ,25.7 ,20.2 ,32.8 ,1.0 ,0.6 ,1.5 ,8.9 ,6.0 ,13.3 ,56.5 ,47.7 ,67.0 ,9.4 ,8.0 ,10.8 ,8.0 ,5.1 ,12.6 ,56.6 ,48.0 ,66.8 
10,Anchorage,AK,380,30.7 ,25.6 ,36.8 ,59.6 ,52.4 ,67.9 ,4.4 ,3.8 ,4.9 ,22.1 ,17.9 ,27.4 ,0.8 ,0.4 ,1.2 ,6.5 ,4.4 ,9.7 ,31.1 ,26.0 ,37.3 ,5.0 ,3.9 ,6.1 ,3.9 ,2.3 ,6.4 ,49.9 ,43.2 ,57.7 
11,Mesa,AZ,538,11.1 ,8.6 ,14.4 ,57.1 ,51.0 ,63.9 ,3.8 ,3.3 ,4.2 ,38.3 ,33.4 ,44.0 ,1.7 ,1.4 ,2.0 ,7.9 ,5.8 ,10.7 ,80.5 ,73.3 ,88.5 ,12.3 ,11.4 ,13.3 ,14.3 ,11.5 ,17.9 ,72.9 ,66.1 ,80.4 
12,Phoenix,AZ,"1,646",15.5 ,13.7 ,17.5 ,57.7 ,54.1 ,61.5 ,4.3 ,4.0 ,4.5 ,36.4 ,33.6 ,39.4 ,1.6 ,1.4 ,1.8 ,10.8 ,9.3 ,12.5 ,76.1 ,72.0 ,80.5 ,11.3 ,10.8 ,11.9 ,14.3 ,12.6 ,16.3 ,66.6 ,62.7 ,70.7 
14,Sun City,AZ,322,11.3 ,8.2 ,15.7 ,59.2 ,51.4 ,68.3 ,4.5 ,3.8 ,5.1 ,43.3 ,36.7 ,51.2 ,2.4 ,2.0 ,2.8 ,14.5 ,10.8 ,19.5 ,84.7 ,75.2 ,95.4 ,12.2 ,11.0 ,13.4 ,15.6 ,11.9 ,20.6 ,76.6 ,67.6 ,86.8 
15,Tucson,AZ,663,13.6 ,11.0 ,16.7 ,57.2 ,51.7 ,63.2 ,3.8 ,3.4 ,4.2 ,36.3 ,32.0 ,41.2 ,1.6 ,1.3 ,1.9 ,9.2 ,7.1 ,11.8 ,74.7 ,68.4 ,81.6 ,10.4 ,9.6 ,11.3 ,14.5 ,11.9 ,17.6 ,62.5 ,56.7 ,69.0 
16,Fort Smith,AR,300,13.4 ,9.9 ,18.2 ,60.1 ,51.9 ,69.5 ,4.1 ,3.4 ,4.7 ,20.3 ,15.9 ,26.1 ,0.7 ,0.3 ,1.1 ,6.3 ,4.0 ,9.9 ,78.2 ,68.8 ,88.9 ,10.6 ,9.4 ,11.9 ,19.6 ,15.2 ,25.3 ,41.4 ,34.8 ,49.3 
18,Jonesboro,AR,240,25.8 ,20.2 ,32.9 ,62.4 ,53.2 ,73.2 ,4.7 ,4.0 ,5.4 ,22.8 ,17.6 ,29.5 ,0.7 ,0.2 ,1.1 ,11.8 ,8.2 ,16.9 ,57.7 ,48.8 ,68.3 ,9.0 ,7.6 ,10.4 ,9.7 ,6.5 ,14.5 ,46.6 ,38.7 ,56.0 
19,Little Rock,AR,"1,496",24.0 ,21.7 ,26.6 ,64.2 ,60.2 ,68.4 ,4.9 ,4.6 ,5.2 ,25.3 ,22.9 ,28.0 ,1.0 ,0.9 ,1.2 ,10.0 ,8.5 ,11.7 ,62.6 ,58.7 ,66.8 ,9.2 ,8.6 ,9.8 ,11.3 ,9.7 ,13.2 ,44.9 ,41.6 ,48.4 
21,Springdale,AR,324,18.6 ,14.5 ,24.0 ,61.9 ,53.9 ,71.0 ,3.8 ,3.1 ,4.4 ,22.6 ,18.0 ,28.5 ,0.7 ,0.4 ,1.1 ,7.3 ,4.9 ,11.0 ,69.4 ,60.9 ,79.0 ,11.0 ,9.8 ,12.2 ,8.5 ,5.9 ,12.3 ,48.7 ,41.6 ,57.0 
22,Texarkana,AR,268,20.5 ,15.8 ,26.6 ,59.6 ,51.1 ,69.7 ,4.5 ,3.8 ,5.1 ,25.8 ,20.5 ,32.6 ,1.2 ,0.8 ,1.6 ,10.3 ,7.2 ,14.8 ,62.5 ,53.6 ,72.8 ,9.3 ,8.0 ,10.7 ,14.2 ,10.3 ,19.6 ,43.3 ,36.1 ,51.8 
23,Orange County,CA,"1,272",26.8 ,24.1 ,29.9 ,64.9 ,60.6 ,69.5 ,5.0 ,4.7 ,5.3 ,45.1 ,41.5 ,49.1 ,2.3 ,2.1 ,2.5 ,15.4 ,13.3 ,17.8 ,60.7 ,56.6 ,65.1 ,8.3 ,7.7 ,8.9 ,12.4 ,10.6 ,14.5 ,68.2 ,63.7 ,72.9 
25,Bakersfield,CA,481,27.6 ,23.2 ,32.8 ,66.5 ,59.6 ,74.3 ,5.3 ,4.8 ,5.8 ,38.6 ,33.4 ,44.6 ,1.8 ,1.5 ,2.2 ,13.7 ,10.7 ,17.5 ,57.3 ,51.0 ,64.5 ,8.7 ,7.7 ,9.7 ,8.9 ,6.6 ,12.0 ,50.6 ,44.7 ,57.4 
31,Chico,CA,327,20.9 ,16.5 ,26.5 ,53.4 ,46.0 ,61.9 ,4.0 ,3.3 ,4.6 ,26.6 ,21.6 ,32.9 ,1.1 ,0.7 ,1.5 ,5.8 ,3.6 ,9.1 ,58.8 ,51.0 ,67.7 ,9.8 ,8.6 ,11.0 ,8.4 ,5.8 ,12.1 ,53.7 ,46.2 ,62.5 
