Cancer Site,Year,Sex,Age,Incidence and Survival Assumptions,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost
AllSites,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,124565.6,40463.5,46642.8,37459.2
AllSites,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,122420.8,38552.7,46671.9,37196.3
AllSites,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,125397.7,40463.5,47136.3,37797.9
AllSites,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,123236.3,38552.7,47155.7,37527.8
AllSites,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,123236.3,38552.7,47155.7,37527.8
AllSites,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,123236.3,38552.7,47155.7,37527.8
Bladder,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3980.7,978.7,1895.8,1106.3
Bladder,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3885.2,923.3,1872.3,1089.7
Bladder,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3987.7,978.7,1900.2,1108.8
Bladder,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3891.9,923.3,1876.5,1092.2
Bladder,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3891.9,923.3,1876.5,1092.2
Bladder,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3891.9,923.3,1876.5,1092.2
Brain,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4469.3,1262.2,1062.9,2144.2
Brain,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4437.6,1239.1,1061.6,2136.8
Brain,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4501.8,1262.2,1070.5,2169.2
Brain,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4469.7,1239.1,1069.1,2161.5
Brain,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4469.7,1239.1,1069.1,2161.5
Brain,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4469.7,1239.1,1069.1,2161.5
Breast,2010,Females,All ages,"Incidence, Survival at constant rate",0%,16499.8,6037.6,6742.4,3719.9
Breast,2010,Females,All ages,"Incidence follows recent trend, Survival constant",0%,15920.9,5634.7,6639.5,3646.6
Breast,2010,Females,All ages,"Survival follows recent trend, Incidence constant",0%,16512.2,6037.6,6750.1,3724.5
Breast,2010,Females,All ages,"Incidence, Survival follow recent trends",0%,15932.6,5634.7,6646.9,3651
Breast,2010,Females,All ages,"Incidence, Survival follow recent trends",2%,15932.6,5634.7,6646.9,3651
Breast,2010,Females,All ages,"Incidence, Survival follow recent trends",5%,15932.6,5634.7,6646.9,3651
Cervix,2010,Females,All ages,"Incidence, Survival at constant rate",0%,1545.7,492.5,368.3,684.9
Cervix,2010,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1394.1,386,355.7,652.4
Cervix,2010,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1546,492.5,368.4,685.2
Cervix,2010,Females,All ages,"Incidence, Survival follow recent trends",0%,1394.4,386,355.7,652.6
Cervix,2010,Females,All ages,"Incidence, Survival follow recent trends",2%,1394.4,386,355.7,652.6
Cervix,2010,Females,All ages,"Incidence, Survival follow recent trends",5%,1394.4,386,355.7,652.6
Colorectal,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14140.5,5928.9,3904.6,4307
Colorectal,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13304,5284.2,3845.7,4174.1
Colorectal,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14186.2,5928.9,3924.6,4332.8
Colorectal,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,13346.2,5284.2,3864.1,4197.9
Colorectal,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,13346.2,5284.2,3864.1,4197.9
Colorectal,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,13346.2,5284.2,3864.1,4197.9
Esophagus,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1333.3,577.8,146.5,609
Esophagus,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1318.9,568,145.9,605
Esophagus,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1370.7,577.8,154.1,638.8
Esophagus,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1356,568,153.4,634.6
Esophagus,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1356,568,153.4,634.6
Esophagus,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,1356,568,153.4,634.6
Head_Neck,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3635.7,1080.6,1007.7,1547.4
Head_Neck,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3517.5,996.8,999,1521.7
Head_Neck,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3640.6,1080.6,1009.5,1550.5
Head_Neck,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3522.2,996.8,1000.7,1524.7
Head_Neck,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3522.2,996.8,1000.7,1524.7
Head_Neck,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3522.2,996.8,1000.7,1524.7
Kidney,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3798.3,1126.3,1586.5,1085.5
Kidney,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3976.2,1260.2,1605.4,1110.7
Kidney,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3816.2,1126.3,1597,1092.9
Kidney,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3995.5,1260.2,1616.7,1118.7
Kidney,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3995.5,1260.2,1616.7,1118.7
Kidney,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3995.5,1260.2,1616.7,1118.7
Leukemia,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5438.1,798.2,2097.6,2542.3
Leukemia,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5309.2,762.4,2060.5,2486.3
Leukemia,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5470,798.2,2111.1,2560.7
Leukemia,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5339.8,762.4,2073.4,2504
Leukemia,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5339.8,762.4,2073.4,2504
Leukemia,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5339.8,762.4,2073.4,2504
Lung,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,12120.7,5240.7,1850,5030
Lung,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11349.5,4738.5,1817.4,4793.7
Lung,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,12196,5240.7,1870.8,5084.6
Lung,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,11418.4,4738.5,1836.4,4843.5
Lung,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,11418.4,4738.5,1836.4,4843.5
Lung,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,11418.4,4738.5,1836.4,4843.5
Lymphoma,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,12142.5,3162.8,4890,4089.7
Lymphoma,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,12086.3,3119.6,4884.9,4081.7
Lymphoma,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,12186.1,3162.8,4913,4110.3
Lymphoma,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12129.4,3119.6,4907.7,4102.1
Lymphoma,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,12129.4,3119.6,4907.7,4102.1
Lymphoma,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,12129.4,3119.6,4907.7,4102.1
Melanoma,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2363.2,490.2,1542.4,330.6
Melanoma,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2460.3,562.9,1555.2,342.2
Melanoma,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2364.9,490.2,1543.7,331
Melanoma,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2462.2,562.9,1556.6,342.7
Melanoma,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2462.2,562.9,1556.6,342.7
Melanoma,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2462.2,562.9,1556.6,342.7
Ovary,2010,Females,All ages,"Incidence, Survival at constant rate",0%,5116.1,1391.2,1654.8,2070.1
Ovary,2010,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4702.6,1077.6,1630.2,1994.7
Ovary,2010,Females,All ages,"Survival follows recent trend, Incidence constant",0%,5140.8,1391.2,1664,2085.6
Ovary,2010,Females,All ages,"Incidence, Survival follow recent trends",0%,4723.6,1077.6,1638.1,2007.9
Ovary,2010,Females,All ages,"Incidence, Survival follow recent trends",2%,4723.6,1077.6,1638.1,2007.9
Ovary,2010,Females,All ages,"Incidence, Survival follow recent trends",5%,4723.6,1077.6,1638.1,2007.9
Pancreas,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2266,1439,99.1,727.9
Pancreas,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2251,1428.3,98.9,723.8
Pancreas,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2317.6,1439,109.8,768.8
Pancreas,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2302.3,1428.3,109.5,764.5
Pancreas,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2302.3,1428.3,109.5,764.5
Pancreas,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2302.3,1428.3,109.5,764.5
Prostate,2010,Males,All ages,"Incidence, Survival at constant rate",0%,11848.1,4547.3,6187.8,1113
Prostate,2010,Males,All ages,"Incidence follows recent trend, Survival constant",0%,11667,4393.4,6164.4,1109.2
Prostate,2010,Males,All ages,"Survival follows recent trend, Incidence constant",0%,11854.1,4547.3,6193,1113.7
Prostate,2010,Males,All ages,"Incidence, Survival follow recent trends",0%,11672.9,4393.4,6169.5,1109.9
Prostate,2010,Males,All ages,"Incidence, Survival follow recent trends",2%,11672.9,4393.4,6169.5,1109.9
Prostate,2010,Males,All ages,"Incidence, Survival follow recent trends",5%,11672.9,4393.4,6169.5,1109.9
Stomach,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1820.1,832.8,230.1,757.3
Stomach,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1697,746.5,226.2,724.3
Stomach,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1839.8,832.8,234.1,773
Stomach,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1715.3,746.5,229.9,738.9
Stomach,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1715.3,746.5,229.9,738.9
Stomach,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,1715.3,746.5,229.9,738.9
Uterus,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2622.6,1060.3,791.5,770.7
Uterus,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2544.5,1000.8,783.4,760.2
Uterus,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2622.2,1060.3,791.2,770.7
Uterus,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2544.2,1000.8,783.1,760.2
Uterus,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2544.2,1000.8,783.1,760.2
Uterus,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2544.2,1000.8,783.1,760.2
Other,2010,Both sexes,All ages,"Incidence, Survival at constant rate",0%,19424.8,4016.4,10584.7,4823.7
Other,2010,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,20599,4430.3,10925.6,5243.1
Other,2010,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,19844.7,4016.4,10931.3,4897
Other,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,21019.6,4430.3,11268.3,5321
Other,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,21019.6,4430.3,11268.3,5321
Other,2010,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,21019.6,4430.3,11268.3,5321
AllSites,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,127758.4,41204.7,48073.5,38480.2
AllSites,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,125033.9,38926.8,47986.1,38121
AllSites,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,128953.1,41204.7,48788,38960.3
AllSites,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,126201.7,38926.8,48684.3,38590.6
AllSites,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,127631.8,39705.4,48684.3,39242.1
AllSites,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,129776.9,40873.2,48684.3,40219.4
Bladder,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4049.4,996.9,1928.2,1124.3
Bladder,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3931.3,931.5,1896.9,1102.9
Bladder,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4059.7,996.9,1934.7,1128.1
Bladder,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3941.2,931.5,1903.2,1106.5
Bladder,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3976.4,950.2,1903.2,1123.1
Bladder,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4029.2,978.1,1903.2,1147.9
Brain,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4576.8,1280.8,1092.7,2203.3
Brain,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4535.1,1251.8,1090.6,2192.7
Brain,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4621.9,1280.8,1103.6,2237.6
Brain,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4579.6,1251.8,1101.3,2226.5
Brain,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4647.3,1276.8,1101.3,2269.1
Brain,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4748.8,1314.4,1101.3,2333.1
Breast,2011,Females,All ages,"Incidence, Survival at constant rate",0%,16909.4,6127,6959.1,3823.3
Breast,2011,Females,All ages,"Incidence follows recent trend, Survival constant",0%,16247.3,5684.6,6828.5,3734.2
Breast,2011,Females,All ages,"Survival follows recent trend, Incidence constant",0%,16929.1,6127,6971.5,3830.6
Breast,2011,Females,All ages,"Incidence, Survival follow recent trends",0%,16266,5684.6,6840.3,3741.1
Breast,2011,Females,All ages,"Incidence, Survival follow recent trends",2%,16452.6,5798.3,6840.3,3814
Breast,2011,Females,All ages,"Incidence, Survival follow recent trends",5%,16732.5,5968.9,6840.3,3923.4
Cervix,2011,Females,All ages,"Incidence, Survival at constant rate",0%,1546.2,493.4,367.1,685.7
Cervix,2011,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1377.3,375.7,352.9,648.7
Cervix,2011,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1546.8,493.4,367.2,686.1
Cervix,2011,Females,All ages,"Incidence, Survival follow recent trends",0%,1377.7,375.7,353,649
Cervix,2011,Females,All ages,"Incidence, Survival follow recent trends",2%,1397.1,383.2,353,660.9
Cervix,2011,Females,All ages,"Incidence, Survival follow recent trends",5%,1426.2,394.5,353,678.7
Colorectal,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14414.5,6038.9,3984.4,4391.2
Colorectal,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,13401.6,5295,3892.2,4214.4
Colorectal,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14480.8,6038.9,4014,4427.9
Colorectal,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,13462.2,5295,3919.2,4247.9
Colorectal,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,13633,5400.9,3919.2,4312.9
Colorectal,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,13889.4,5559.7,3919.2,4410.4
Esophagus,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1377.3,591,153.8,632.5
Esophagus,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1359.5,579.5,152.8,627.1
Esophagus,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1429.1,591,164.5,673.6
Esophagus,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1410.8,579.5,163.5,667.8
Esophagus,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1434.4,591.1,163.5,679.8
Esophagus,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,1469.9,608.5,163.5,697.9
Head_Neck,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3700.4,1101,1024.8,1574.6
Head_Neck,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3548.9,999.9,1010.7,1538.3
Head_Neck,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3707.7,1101,1027.5,1579.1
Head_Neck,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3555.8,999.9,1013.4,1542.5
Head_Neck,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3604.4,1019.9,1013.4,1571.2
Head_Neck,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3677.3,1049.9,1013.4,1614.1
Kidney,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3923.9,1152.3,1646.5,1125.1
Kidney,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4153.2,1311.1,1680.1,1161.9
Kidney,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3949.9,1152.3,1661.8,1135.8
Kidney,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4181.6,1311.1,1696.8,1173.6
Kidney,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4225.5,1337.4,1696.8,1191.3
Kidney,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4291.4,1376.7,1696.8,1217.8
Leukemia,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5581.7,809.8,2160.8,2611.1
Leukemia,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5439.7,771.8,2118.9,2549.1
Leukemia,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5627.8,809.8,2180.6,2637.4
Leukemia,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5483.8,771.8,2137.8,2574.3
Leukemia,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,5545.7,787.2,2137.8,2620.7
Leukemia,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5638.5,810.3,2137.8,2690.4
Lung,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,12375.1,5355.9,1885.9,5133.3
Lung,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,11446.9,4773,1837.3,4836.6
Lung,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,12477.9,5355.9,1914.7,5207.3
Lung,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,11539.6,4773,1863.3,4903.3
Lung,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,11726.5,4868.5,1863.3,4994.7
Lung,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,12006.7,5011.7,1863.3,5131.8
Lymphoma,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,12451.3,3215,5023,4213.3
Lymphoma,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,12379.4,3164.8,5013.6,4200.9
Lymphoma,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,12515.3,3215,5056.4,4243.8
Lymphoma,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12442.8,3164.8,5046.8,4231.1
Lymphoma,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,12580.5,3228.1,5046.8,4305.5
Lymphoma,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,12787,3323.1,5046.8,4417
Melanoma,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2446,498.9,1607.3,339.8
